player_name,club,assists,corner_taken,offsides,dribbles,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_completed,freekicks_taken,match_played
S. Thill,Sheriff,1,9,0,1,Midfielder,81.2,206,167,23,17,4,18,6
Salah,Liverpool,2,0,5,49,Forward,81.2,426,346,9,11,1,1,13
Sané,Bayern,6,3,3,32,Midfielder,86.8,398,346,26,19,5,8,10
Schulz,Dortmund,1,0,0,2,Defender,83.5,129,110,100,3,3,1,4
Schuurs,Ajax,1,0,0,0,Defender,90.3,111,99,0,0,0,6,3
Seiwald,Salzburg,1,18,1,5,Midfielder,69,258,190,20,25,5,9,8
Shaw,Man. United,2,3,1,1,Defender,79.8,233,190,29,17,5,6,5
Sobol,Club Brugge,1,0,0,4,Defender,75,96,74,25,4,1,1,4
Sterling,Man. City,2,0,6,14,Forward,88.4,206,185,12,8,1,1,12
T. Hernández,Milan,1,3,4,10,Defender,78.6,215,172,31,16,5,7,5
Tadić,Ajax,2,5,5,13,Forward,75.7,303,231,43,44,19,8,7
Tagliafico,Ajax,1,0,0,1,Defender,76.3,69,57,16,6,1,1,3
Taremi,Porto,1,1,2,4,Forward,70.3,108,75,0,1,0,0,6
Thiago Silva,Chelsea,1,0,0,0,Defender,93.1,607,571,100,2,2,17,9
Tolisso,Bayern,1,0,0,0,Midfielder,86.8,197,178,0,2,0,6,4
Traore,Sheriff,1,0,1,13,Midfielder,78,105,83,33,3,1,1,6
Tsimikas,Liverpool,2,16,0,4,Defender,78.6,201,165,22,40,9,8,5
Tsygankov,Dynamo Kyiv,1,10,0,8,Midfielder,84.7,174,148,22,9,2,3,6
Valverde,Real Madrid,1,0,3,10,Midfielder,85.4,395,336,20,15,3,1,11
Van Dijk,Liverpool,1,0,2,0,Defender,90.7,667,609,0,1,0,10,9
Vanaken,Club Brugge,1,2,0,7,Midfielder,83.8,288,241,100,1,1,7,6
Vertonghen,Benfica,1,0,0,3,Defender,83.3,424,360,0,1,0,9,10
Vidal,Inter,2,0,0,2,Midfielder,90.4,254,222,66,3,2,3,7
Vinícius Júnior,Real Madrid,6,3,4,83,Forward,83.1,451,377,31,19,6,0,13
Vormer,Club Brugge,1,6,1,0,Midfielder,83,80,68,20,10,2,5,4
Werner,Chelsea,2,0,1,10,Forward,77.6,71,58,0,3,0,0,5
Zapata,Atalanta,3,0,7,10,Forward,70,130,92,20,5,1,0,6
Zappacosta,Atalanta,1,0,0,12,Defender,89.7,188,162,8,12,1,6,6
Zeki Çelik,LOSC,1,0,1,5,Defender,78,297,233,33,12,4,9,7
Zinchenko,Man. City,1,1,0,3,Defender,88,356,314,23,13,3,4,8
Ziyech,Chelsea,2,23,0,12,Midfielder,76.8,240,186,26,41,11,3,9
